cm_dummy,gamedummy,area_kanto,area_keihan,area_tokai,area_keihanshin,age,sex,marry_dummy,job_dummy1,job_dummy2,job_dummy3,job_dummy4,job_dummy5,job_dummy6,job_dummy7,job_dummy8,inc,pmoney,fam_str_dummy1,fam_str_dummy2,fam_str_dummy3,fam_str_dummy4,fam_str_dummy5,child_dummy,T,F1,F2,F3,M1,M2,M3,TVwatch_day,gamesecond,gamecount
0,0,0,0,0,1,44.5,1,1,1,0,0,0,0,0,0,0,249.5,0,0,0,1,0,0,1,0,0,0,0,0,1,0,33.427599552,0,0
0,0,0,1,0,0,34.5,1,1,1,0,0,0,0,0,0,0,800,12.5,0,0,1,0,0,1,0,0,0,0,0,1,0,31.542861581,0,0
0,0,0,1,0,0,24.5,1,0,0,0,0,0,0,0,1,0,0,2,0,0,0,1,0,0,0,0,0,0,1,0,0,37.82580507,0,0
0,0,0,1,0,0,44.5,1,1,1,0,0,0,0,0,0,0,800,2,0,0,1,0,0,1,0,0,0,0,0,1,0,36.34591056,0,0
0,0,0,1,0,0,34.5,1,1,1,0,0,0,0,0,0,0,749.5,4,0,0,1,0,0,1,0,0,0,0,1,0,0,49.344941935,0,0
0,0,0,1,0,0,24.5,0,0,0,1,0,0,0,0,0,0,103,3.3,0,0,0,0,1,0,0,1,0,0,0,0,0,48.417899146,0,0
0,0,0,0,0,1,19,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,53.426756891,0,0
0,0,0,0,1,0,54.5,0,1,1,0,0,0,0,0,0,0,449.5,4,1,0,0,0,0,0,0,0,0,1,0,0,0,56.697457807,0,0
0,0,0,1,0,0,44.5,1,1,1,0,0,0,0,0,0,0,800,2,0,0,1,0,0,1,0,0,0,0,0,1,0,61.996339804,0,0
0,0,0,1,0,0,34.5,1,0,1,0,0,0,0,0,0,0,449.5,6.5,1,0,0,0,0,0,0,0,0,0,1,0,0,64.557893226,0,0
0,0,0,1,0,0,34.5,1,1,1,0,0,0,0,0,0,0,800,6.5,0,0,1,0,0,1,0,0,0,0,0,1,0,67.659171578,0,0
0,0,1,0,0,0,34.5,1,1,1,0,0,0,0,0,0,0,649.5,0,0,0,1,0,0,1,0,0,0,0,0,1,0,72.017798717,0,0
0,0,0,0,0,1,34.5,1,0,0,0,1,0,0,0,0,0,151.5,2,0,0,1,0,0,0,0,0,0,0,0,1,0,72.952942657,0,0
0,0,0,1,0,0,19,0,0,0,0,0,0,0,0,1,0,0,4,1,0,0,0,0,0,1,0,0,0,0,0,0,71.46377976,0,0
0,0,0,0,0,1,44.5,0,1,0,0,0,0,1,0,0,0,103,2,0,0,1,0,0,0,0,0,1,0,0,0,0,75.394624554,0,0
0,0,0,0,0,1,54.5,1,1,1,0,0,0,0,0,0,0,649.5,4,0,0,1,0,0,0,0,0,0,0,0,0,1,88.891789909,0,0
0,0,0,1,0,0,54.5,1,1,1,0,0,0,0,0,0,0,749.5,2,0,0,1,0,0,1,0,0,0,0,0,0,1,103.57639038,0,0
0,0,0,1,0,0,34.5,0,0,1,0,0,0,0,0,0,0,449.5,9,0,0,1,0,0,0,0,1,0,0,0,0,0,104.87065389,0,0
0,0,0,1,0,0,24.5,1,0,1,0,0,0,0,0,0,0,349.5,4,0,0,1,0,0,1,0,0,0,0,1,0,0,109.6277688,0,0
0,0,0,0,0,1,44.5,1,1,1,0,0,0,0,0,0,0,649.5,2,0,0,1,0,0,1,0,0,0,0,0,1,0,111.41032017,0,0
0,0,1,0,0,0,34.5,1,1,1,0,0,0,0,0,0,0,349.5,1,0,0,0,1,0,1,0,0,0,0,0,1,0,114.21881542,0,0
0,0,0,1,0,0,44.5,1,1,1,0,0,0,0,0,0,0,800,2,0,0,0,1,0,1,0,0,0,0,0,1,0,122.08016168,0,0
0,0,0,1,0,0,34.5,0,1,0,0,0,0,1,0,0,0,103,1,0,0,0,1,0,1,0,1,0,0,0,0,0,127.98116913,0,0
0,0,0,1,0,0,44.5,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,149.3661894,0,0
0,0,1,0,0,0,24.5,1,0,0,0,0,0,0,0,1,0,0,9,0,0,1,0,0,1,0,0,0,0,1,0,0,175.7263405,0,0
0,0,0,1,0,0,24.5,1,0,0,0,1,0,0,0,0,0,249.5,6.5,1,0,0,0,0,0,0,0,0,0,1,0,0,187.44863748,0,0
0,0,0,1,0,0,34.5,1,0,1,0,0,0,0,0,0,0,449.5,9,1,0,0,0,0,0,0,0,0,0,1,0,0,197.09255327,0,0
0,0,1,0,0,0,34.5,0,1,0,0,0,0,0,1,0,0,0,4,0,1,0,0,0,0,0,0,1,0,0,0,0,200.40185232,0,0
0,0,0,1,0,0,34.5,1,1,1,0,0,0,0,0,0,0,449.5,2,0,0,1,0,0,1,0,0,0,0,0,1,0,201.86921597,0,0
0,0,0,1,0,0,24.5,0,1,0,0,0,0,1,0,0,0,103,1,0,1,0,0,0,0,0,1,0,0,0,0,0,205.10139805,0,0
0,0,1,0,0,0,34.5,1,1,1,0,0,0,0,0,0,0,800,20,0,0,1,0,0,1,0,0,0,0,1,0,0,207.12096744,0,0
0,0,0,1,0,0,34.5,0,1,0,0,1,0,0,0,0,0,249.5,4,0,1,0,0,0,0,0,0,1,0,0,0,0,209.05153448,0,0
0,0,0,1,0,0,34.5,1,0,1,0,0,0,0,0,0,0,449.5,4,1,0,0,0,0,0,0,0,0,0,0,1,0,215.15374151,0,0
0,0,0,0,0,1,44.5,1,0,0,0,1,0,0,0,0,0,151.5,6.5,0,0,1,0,0,0,0,0,0,0,0,1,0,219.28842845,0,0
0,0,0,1,0,0,24.5,0,1,1,0,0,0,0,0,0,0,151.5,4,0,1,0,0,0,0,0,1,0,0,0,0,0,233.87845756,0,0
0,0,0,1,0,0,34.5,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,231.69640079,0,0
0,0,0,1,0,0,44.5,1,1,1,0,0,0,0,0,0,0,749.5,4,0,0,1,0,0,1,0,0,0,0,0,1,0,241.83952467,0,0
0,0,0,1,0,0,24.5,1,0,1,0,0,0,0,0,0,0,249.5,4,0,0,1,0,0,0,0,0,0,0,1,0,0,251.92424394,0,0
0,0,0,0,0,1,34.5,0,0,1,0,0,0,0,0,0,0,349.5,6.5,1,0,0,0,0,0,0,1,0,0,0,0,0,268.84205165,0,0
0,0,0,1,0,0,24.5,1,0,0,0,0,0,0,0,1,0,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,286.9713345,0,0
0,0,1,0,0,0,34.5,1,1,1,0,0,0,0,0,0,0,349.5,2,0,0,0,1,0,1,0,0,0,0,0,1,0,287.68262951,0,0
0,0,1,0,0,0,19,1,0,0,0,0,0,0,0,1,0,0,2,0,0,0,1,0,1,1,0,0,0,0,0,0,298.32369708,0,0
